lemma	pos	#_semcor	#_omsti	#_omsti_sample
publication	n	0	884	884
top	n	0	186	186
guest	n	0	142	142
past	n	0	1155	1000
advice	n	0	0	0
average	n	0	0	0
morning	n	0	708	708
violator	n	0	0	0
triumph	n	0	0	0
result	n	0	950	950
talent	n	0	700	700
space	n	0	2267	1000
ministry	n	0	0	0
Copenhagen	n	0	0	0
law	n	0	1072	1000
restriction	n	0	0	0
second	n	0	602	602
protection	n	0	964	964
court	n	0	461	461
document	n	0	0	0
life	n	0	2199	1000
evening	n	0	565	565
directive	n	0	0	0
prosecutor	n	0	0	0
distinction	n	0	0	0
narrow_margin	n	0	0	0
uproar	n	0	0	0
european_country	n	0	0	0
deforestation	n	0	0	0
greenhouse_gas	n	0	0	0
Russia	n	0	0	0
battle	n	0	787	787
comment	n	0	0	0
poverty	n	0	0	0
competitor	n	0	0	0
sum	n	0	0	0
verdict	n	0	0	0
conservative	n	0	0	0
dominican_republic	n	0	0	0
Organisation	n	0	0	0
US	n	0	0	0
robustness	n	0	0	0
today	n	0	994	994
juror	n	0	0	0
observer	n	0	0	0
halftime	n	0	0	0
rival	n	0	0	0
Venezuela	n	0	0	0
football_player	n	0	0	0
scorer	n	0	0	0
contrast	n	0	0	0
term	n	0	1467	1000
rest	n	0	928	928
backing	n	0	0	0
example	n	0	1536	1000
rule	n	0	978	978
leadership	n	0	1474	1000
suspension	n	0	0	0
campaign	n	0	862	862
question	n	0	1494	1000
Future	n	0	0	0
private_enterprise	n	0	0	0
healthcare	n	0	0	0
race	n	0	489	489
expenditure	n	0	0	0
contract	n	0	496	496
show	n	0	961	961
law_firm	n	0	0	0
treaty	n	0	0	0
security	n	0	2473	1000
vice_president	n	0	0	0
fear	n	0	968	968
economist	n	0	0	0
China	n	0	0	0
life_form	n	0	0	0
role	n	0	474	474
League	n	0	0	0
England	n	0	0	0
Canon	n	0	0	0
goal	n	0	490	490
invasion	n	0	0	0
yield	n	0	0	0
burden	n	0	0	0
firm	n	0	0	0
century	n	0	497	497
speaker	n	0	0	0
unemployment	n	0	0	0
addition	n	0	0	0
status	n	0	983	983
point	n	0	2050	1000
region	n	0	118	118
loan	n	0	496	496
fund	n	0	498	498
capital	n	0	1165	1000
infrastructure	n	0	0	0
concentration	n	0	0	0
disadvantage	n	0	0	0
violence	n	0	0	0
substitution	n	0	0	0
Connecticut	n	0	0	0
whistle	n	0	0	0
path	n	0	0	0
World	n	0	0	0
start	n	0	0	0
success	n	0	967	967
united_nations	n	0	0	0
fannie_mae	n	0	0	0
spokesman	n	0	0	0
ruling	n	0	0	0
number_one	n	0	0	0
money	n	0	948	948
central_america	n	0	0	0
discipline	n	0	0	0
death_penalty	n	0	0	0
regulator	n	0	0	0
social_system	n	0	0	0
ethos	n	0	0	0
relation	n	0	497	497
Nobel_prize	n	0	0	0
crush	n	0	0	0
courthouse	n	0	0	0
team	n	0	500	500
string	n	0	0	0
Treasury	n	0	0	0
change	n	0	1477	1000
chemical	n	0	0	0
teamwork	n	0	0	0
Bank	n	0	0	0
increase	n	0	0	0
customer	n	0	0	0
draft	n	0	0	0
danger	n	0	0	0
Germany	n	0	0	0
action	n	0	1933	1000
climate	n	0	0	0
contribution	n	0	1481	1000
flexibility	n	0	0	0
passion	n	0	0	0
circumstance	n	0	650	650
code_of_conduct	n	0	0	0
planet	n	0	0	0
degree	n	0	1040	1000
system	n	0	1715	1000
decision	n	0	500	500
fairness	n	0	0	0
global_warming	n	0	0	0
viewpoint	n	0	0	0
business	n	0	1040	1000
market_economy	n	0	0	0
aspect	n	0	475	475
November	n	0	0	0
U.S.	n	0	0	0
pay	n	0	0	0
culpability	n	0	0	0
country	n	0	559	559
obligation	n	0	0	0
training	n	0	499	499
announcement	n	0	0	0
reserve	n	0	0	0
couple	n	0	823	823
trial_judge	n	0	0	0
end	n	0	1212	1000
predominance	n	0	0	0
volume	n	0	1789	1000
military	n	0	0	0
official	n	0	383	383
intensity	n	0	627	627
championship	n	0	0	0
advance	n	0	0	0
half_a_dozen	n	0	0	0
half	n	0	497	497
Cleveland	n	0	0	0
New_York	n	0	0	0
conference	n	0	498	498
regard	n	0	0	0
diversity	n	0	0	0
outline	n	0	0	0
arrival	n	0	0	0
study	n	0	2137	1000
fine	n	0	0	0
record	n	0	502	502
Washington	n	0	0	0
investor	n	0	0	0
support	n	0	704	704
proportion	n	0	0	0
compensation	n	0	0	0
giant	n	0	0	0
defense	n	0	675	675
Ecuador	n	0	0	0
opinion	n	0	934	934
Migration	n	0	0	0
instability	n	0	0	0
Earth	n	0	0	0
responsiveness	n	0	0	0
poll	n	0	0	0
Internet	n	0	0	0
member	n	0	998	998
expulsion	n	0	0	0
fundraiser	n	0	0	0
first_period	n	0	0	0
sideline	n	0	0	0
united_states_senate	n	0	0	0
trend	n	0	505	505
reality	n	0	0	0
acceptance	n	0	0	0
bid	n	0	0	0
return	n	0	1480	1000
program	n	0	741	741
government	n	0	774	774
consumer	n	0	0	0
value	n	0	1438	1000
jury	n	0	541	541
performance	n	0	1288	1000
osteopath	n	0	0	0
television_show	n	0	0	0
provocation	n	0	0	0
behavior	n	0	223	223
play	n	0	223	223
lender	n	0	0	0
week	n	0	801	801
high	n	0	0	0
freddie_mac	n	0	0	0
fate	n	0	0	0
picture	n	0	1197	1000
receipt	n	0	0	0
auction	n	0	0	0
budget	n	0	245	245
war	n	0	154	154
move	n	0	0	0
circle	n	0	264	264
appeals_court	n	0	0	0
biochemistry	n	0	0	0
scoreboard	n	0	0	0
asset	n	0	0	0
event	n	0	602	602
transmission	n	0	0	0
developing_country	n	0	0	0
representation	n	0	0	0
nation	n	0	984	984
charge	n	0	1395	1000
integrity	n	0	0	0
violation	n	0	0	0
boost	n	0	0	0
weekend	n	0	0	0
world_cup	n	0	0	0
France	n	0	0	0
environment	n	0	0	0
sport	n	0	0	0
use	n	0	1158	1000
application	n	0	493	493
advantage	n	0	968	968
urgency	n	0	0	0
tone	n	0	289	289
Senate	n	0	0	0
policy	n	0	918	918
adaptation	n	0	0	0
adviser	n	0	0	0
united_states_supreme_court	n	0	0	0
unit	n	0	988	988
wind	n	0	5	5
communication	n	0	1036	1000
oil	n	0	503	503
height	n	0	0	0
involvement	n	0	0	0
shock	n	0	0	0
match	n	0	0	0
economic_growth	n	0	0	0
selection	n	0	0	0
issue	n	0	1383	1000
representative	n	0	0	0
open_university	n	0	0	0
microbiology	n	0	0	0
loss	n	0	1053	1000
working_group	n	0	0	0
kitty	n	0	0	0
deal	n	0	1722	1000
tie	n	0	0	0
sense	n	0	1138	1000
capability	n	0	0	0
progress	n	0	832	832
legal_principle	n	0	0	0
sort	n	0	104	104
behalf	n	0	0	0
intention	n	0	0	0
stability	n	0	0	0
woe	n	0	0	0
hydrogen	n	0	0	0
fee	n	0	0	0
imperative	n	0	0	0
proposal	n	0	104	104
guest_of_honor	n	0	0	0
case	n	0	2546	1000
outcome	n	0	0	0
trouble	n	0	41	41
one	n	0	952	952
appeal	n	0	0	0
fact	n	0	487	487
trick	n	0	0	0
department_of_energy	n	0	0	0
respondent	n	0	0	0
heading	n	0	0	0
possibility	n	0	559	559
news	n	0	487	487
wittiness	n	0	0	0
power	n	0	974	974
courtroom	n	0	0	0
world	n	0	192	192
bacterium	n	0	0	0
discovery	n	0	0	0
market	n	0	558	558
photograph	n	0	0	0
murder	n	0	0	0
cash	n	0	0	0
percent	n	0	0	0
minister	n	0	0	0
Institute	n	0	0	0
hall	n	0	49	49
opportunity	n	0	0	0
worker	n	0	496	496
latin_america	n	0	0	0
democracy	n	0	0	0
president	n	0	1359	1000
oil_company	n	0	0	0
complaint	n	0	0	0
consensus	n	0	0	0
creation	n	0	0	0
find	n	0	0	0
machinery	n	0	0	0
cup	n	0	0	0
league	n	0	0	0
home	n	0	1704	1000
subject	n	0	1130	1000
winner	n	0	0	0
sanction	n	0	0	0
book	n	0	1056	1000
flood	n	0	0	0
reason	n	0	954	954
view	n	0	1002	1000
opponent	n	0	0	0
hegemony	n	0	0	0
attendance	n	0	0	0
swing	n	0	0	0
Europe	n	0	0	0
drop	n	0	0	0
european_union	n	0	0	0
bond	n	0	237	237
thing	n	0	1471	1000
favor	n	0	16	16
Peru	n	0	0	0
last_minute	n	0	0	0
knowledge	n	0	0	0
message	n	0	260	260
india	n	0	0	0
delegate	n	0	0	0
side	n	0	1537	1000
negotiator	n	0	0	0
immigrant	n	0	0	0
execution	n	0	0	0
low	n	0	0	0
group	n	0	498	498
plumber	n	0	0	0
cut	n	0	0	0
investment	n	0	0	0
damage	n	0	0	0
police	n	0	0	0
phosphorus	n	0	0	0
energy	n	0	1571	1000
basis	n	0	991	991
whole	n	0	461	461
range	n	0	971	971
china	n	0	0	0
rise	n	0	0	0
London	n	0	0	0
bonus	n	0	0	0
overhaul	n	0	0	0
hard_time	n	0	0	0
notion	n	0	0	0
fault_line	n	0	0	0
principle	n	0	254	254
inspiration	n	0	0	0
news_media	n	0	0	0
participation	n	0	0	0
impartiality	n	0	0	0
moon	n	0	0	0
replacement	n	0	0	0
September	n	0	0	0
editor	n	0	440	440
economy	n	0	371	371
gathering	n	0	0	0
crime	n	0	0	0
output	n	0	0	0
level	n	0	1332	1000
movie	n	0	0	0
wall_street	n	0	0	0
finding	n	0	0	0
judge	n	0	0	0
obstacle	n	0	0	0
Saturday	n	0	0	0
age	n	0	1616	1000
shareholder	n	0	0	0
factor	n	0	1822	1000
mood	n	0	0	0
upper_limit	n	0	0	0
individual	n	0	667	667
two_dozen	n	0	0	0
specialist	n	0	0	0
credit_union	n	0	0	0
difference	n	0	1749	1000
occasion	n	0	1331	1000
labor	n	0	855	855
territory	n	0	0	0
arsenic	n	0	0	0
research	n	0	500	500
service	n	0	1604	1000
trade	n	0	955	955
researcher	n	0	0	0
history	n	0	496	496
supreme_court	n	0	0	0
March	n	0	0	0
microbe	n	0	0	0
Congress	n	0	0	0
organism	n	0	0	0
temperature	n	0	484	484
Spain	n	0	0	0
right	n	0	1032	1000
decade	n	0	492	492
manager	n	0	487	487
minute	n	0	539	539
billion	n	0	0	0
banality	n	0	0	0
new_haven	n	0	0	0
mandate	n	0	0	0
journalist	n	0	0	0
code	n	0	0	0
process	n	0	503	503
analyst	n	0	0	0
America	n	0	0	0
scope	n	0	0	0
filing	n	0	0	0
legal_action	n	0	0	0
rape	n	0	0	0
area	n	0	1511	1000
circus	n	0	0	0
detail	n	0	0	0
par	n	0	0	0
paper	n	0	1857	1000
element	n	0	611	611
table	n	0	270	270
summer	n	0	0	0
migration	n	0	0	0
crisis	n	0	499	499
push	n	0	0	0
estimate	n	0	0	0
generosity	n	0	0	0
offer	n	0	0	0
relative	n	0	0	0
growth	n	0	1192	1000
hour	n	0	977	977
dramatization	n	0	0	0
dow_jones	n	0	0	0
anaesthetist	n	0	0	0
defense_lawyer	n	0	0	0
familiarity	n	0	0	0
company	n	0	527	527
development	n	0	924	924
complementarity	n	0	0	0
game	n	0	527	527
attitude	n	0	438	438
house	n	0	992	992
