lemma	pos	#_semcor	#_omsti	#_omsti_sample
unemployment	n	3	0	0
united_states_supreme_court	n	0	0	0
healthcare	n	0	0	0
Treasury	n	0	0	0
concern	n	38	0	0
promise	n	15	0	0
return	n	48	0	0
immigrant	n	5	0	0
peak	n	7	0	0
contribution	n	21	0	0
effect	n	116	0	0
people	n	282	0	0
obstacle	n	6	0	0
regulator	n	1	0	0
talent	n	18	0	0
outcome	n	18	0	0
expenditure	n	22	0	0
pound	n	44	0	0
institution	n	30	0	0
system	n	112	0	0
border	n	7	0	0
Nicaragua	n	0	0	0
bombing	n	2	0	0
manager	n	50	0	0
part	n	202	0	0
set	n	50	0	0
range	n	64	0	0
dramatization	n	0	0	0
dinner	n	30	0	0
hegemony	n	0	0	0
representative	n	16	0	0
military	n	1	0	0
France	n	0	0	0
mortgage-backed_security	n	0	0	0
World	n	0	0	0
editor	n	17	0	0
Organisation	n	0	0	0
european_country	n	1	0	0
text	n	53	0	0
use	n	114	0	0
indifference	n	6	0	0
tone	n	55	0	0
success	n	65	0	0
drop	n	18	0	0
act	n	67	0	0
play	n	61	0	0
path	n	19	0	0
card	n	8	0	0
thursday	n	13	0	0
wife	n	120	0	0
Copenhagen	n	0	0	0
indication	n	13	0	0
rule	n	47	0	0
absence	n	31	0	0
assistance	n	29	0	0
mexico	n	3	0	0
view	n	69	0	0
invasion	n	4	0	0
industry	n	71	0	0
fund	n	31	0	0
trial	n	48	0	0
drought	n	6	0	0
bid	n	1	0	0
indicator	n	13	0	0
estimate	n	23	0	0
conviction	n	17	0	0
united_states_senate	n	0	0	0
familiarity	n	4	0	0
sector	n	12	0	0
gathering	n	7	0	0
barrel	n	7	0	0
climate	n	8	0	0
horde	n	1	0	0
draft	n	3	0	0
start	n	17	0	0
court	n	52	0	0
football	n	11	0	0
osteopath	n	0	0	0
table	n	81	0	0
surgeon	n	9	0	0
controversy	n	8	0	0
technician	n	3	0	0
second	n	31	0	0
world	n	157	0	0
Right	n	0	0	0
nitrogen	n	5	0	0
science	n	6	0	0
boost	n	4	0	0
halftime	n	1	0	0
nation	n	43	0	0
home	n	111	0	0
yield	n	6	0	0
fine	n	0	0	0
spirit	n	111	0	0
migration	n	2	0	0
deal	n	10	0	0
discovery	n	21	0	0
attitude	n	66	0	0
appeals_court	n	0	0	0
output	n	8	0	0
work	n	209	0	0
recovery	n	7	0	0
shackle	n	2	0	0
top	n	48	0	0
result	n	131	0	0
will	n	24	0	0
Labor	n	0	0	0
Google	n	0	0	0
string	n	11	0	0
training	n	71	0	0
member	n	74	0	0
circle	n	26	0	0
culpability	n	0	0	0
growth	n	63	0	0
mandate	n	1	0	0
long_time	n	13	0	0
striker	n	0	0	0
U.S.	n	0	0	0
news_conference	n	2	0	0
mortgage	n	4	0	0
find	n	0	0	0
place	n	157	0	0
envoy	n	0	0	0
creation	n	13	0	0
legal_action	n	0	0	0
action	n	130	0	0
club	n	27	0	0
predominance	n	1	0	0
row	n	12	0	0
opinion	n	30	0	0
critic	n	8	0	0
offer	n	2	0	0
group	n	1329	0	0
detail	n	42	0	0
transmission	n	6	0	0
labor	n	39	0	0
firm	n	26	0	0
sanction	n	3	0	0
Saturday	n	0	0	0
movie	n	26	0	0
height	n	17	0	0
specialist	n	20	0	0
summer	n	57	0	0
responsibility	n	18	0	0
judge	n	8	0	0
proximity	n	0	0	0
danger	n	21	0	0
lead	n	21	0	0
directive	n	1	0	0
net	n	6	0	0
scope	n	15	0	0
par	n	3	0	0
study	n	131	0	0
morning	n	74	0	0
difference	n	91	0	0
referee	n	1	0	0
outlet	n	4	0	0
impartiality	n	0	0	0
recession	n	1	0	0
energy	n	42	0	0
week	n	106	0	0
billion	n	1	0	0
Venezuela	n	0	0	0
rise	n	15	0	0
capability	n	8	0	0
damage	n	13	0	0
degree	n	67	0	0
analyst	n	9	0	0
asset	n	1	0	0
two_dozen	n	0	0	0
minute	n	76	0	0
arrival	n	6	0	0
event	n	66	0	0
visit	n	22	0	0
last_word	n	0	0	0
match	n	7	0	0
protection	n	24	0	0
Europe	n	0	0	0
rape	n	0	0	0
official	n	26	0	0
wall_street	n	2	0	0
china	n	9	0	0
investor	n	3	0	0
robustness	n	1	0	0
reference	n	34	0	0
latin_america	n	3	0	0
big_league	n	3	0	0
life_form	n	0	0	0
hard_line	n	0	0	0
Wednesday	n	0	0	0
age	n	104	0	0
London	n	0	0	0
England	n	0	0	0
consensus	n	3	0	0
suit	n	15	0	0
fraud	n	9	0	0
issue	n	29	0	0
bricklayer	n	1	0	0
substitution	n	1	0	0
flood	n	9	0	0
expulsion	n	1	0	0
dispute	n	2	0	0
battle	n	20	0	0
right	n	63	0	0
conference	n	15	0	0
case	n	164	0	0
language	n	56	0	0
oxygen	n	39	0	0
history	n	104	0	0
murder	n	43	0	0
risk	n	5	0	0
occasion	n	22	0	0
volume	n	51	0	0
fear	n	65	0	0
argument	n	39	0	0
Russia	n	0	0	0
mood	n	14	0	0
arsenic	n	1	0	0
round	n	11	0	0
CEO	n	0	0	0
replacement	n	9	0	0
regard	n	7	0	0
record	n	69	0	0
popularity	n	6	0	0
bankruptcy	n	2	0	0
plane	n	39	0	0
news	n	35	0	0
house	n	154	0	0
lot	n	19	0	0
finding	n	20	0	0
rival	n	1	0	0
cash	n	8	0	0
program	n	150	0	0
Cleveland	n	0	0	0
guest	n	25	0	0
consumer	n	10	0	0
common_sense	n	2	0	0
New_York	n	0	0	0
area	n	215	0	0
hall	n	44	0	0
reduction	n	20	0	0
lender	n	0	0	0
inclusion	n	0	0	0
claim	n	48	0	0
professor	n	19	0	0
responsiveness	n	2	0	0
carnival	n	0	0	0
time	n	511	0	0
number	n	206	0	0
attorney	n	8	0	0
working_group	n	0	0	0
rest	n	49	0	0
door	n	137	0	0
election	n	68	0	0
individual	n	62	0	0
acceptance	n	9	0	0
half_a_dozen	n	1	0	0
outline	n	6	0	0
momentum	n	9	0	0
investment	n	12	0	0
state	n	190	0	0
participation	n	13	0	0
south_america	n	3	0	0
shock	n	10	0	0
new_haven	n	1	0	0
infrastructure	n	0	0	0
competition	n	25	0	0
economist	n	4	0	0
auction	n	0	0	0
period	n	93	0	0
space	n	50	0	0
sale	n	48	0	0
USA	n	0	0	0
stake	n	3	0	0
spokesman	n	1	0	0
oil_company	n	0	0	0
change	n	117	0	0
wittiness	n	0	0	0
League	n	0	0	0
interest	n	140	0	0
journalist	n	4	0	0
oil	n	15	0	0
sulfur	n	1	0	0
relation	n	25	0	0
team	n	47	0	0
superior_court	n	0	0	0
code_of_conduct	n	1	0	0
championship	n	2	0	0
hotel	n	39	0	0
giant	n	10	0	0
league	n	11	0	0
shortage	n	6	0	0
one	n	45	0	0
stability	n	6	0	0
circus	n	2	0	0
receipt	n	5	0	0
average	n	13	0	0
rallying_cry	n	0	0	0
violence	n	16	0	0
victory	n	35	0	0
Nobel_prize	n	0	0	0
trial_court	n	1	0	0
nothing	n	135	0	0
line	n	124	0	0
quarter	n	11	0	0
united_states	n	100	0	0
lawyer	n	15	0	0
problem	n	199	0	0
behavior	n	46	0	0
country	n	116	0	0
field	n	111	0	0
treaty	n	3	0	0
party	n	61	0	0
structure	n	47	0	0
vice_president	n	10	0	0
chairman	n	8	0	0
delegate	n	1	0	0
Iraq	n	0	0	0
observer	n	20	0	0
security	n	23	0	0
fault_line	n	0	0	0
daughter	n	23	0	0
fate	n	10	0	0
death_penalty	n	0	0	0
emotion	n	44	0	0
experience	n	125	0	0
earth	n	74	0	0
Mexico	n	0	0	0
aspect	n	44	0	0
favor	n	17	0	0
overhaul	n	0	0	0
figure	n	167	0	0
solicitor_general	n	0	0	0
student	n	80	0	0
high	n	5	0	0
temperature	n	92	0	0
territory	n	8	0	0
power	n	103	0	0
coverage	n	2	0	0
harassment	n	0	0	0
credit_union	n	0	0	0
unemployed	n	0	0	0
Congress	n	0	0	0
charge	n	29	0	0
upper_limit	n	3	0	0
performance	n	59	0	0
petition	n	6	0	0
commitment	n	5	0	0
safety_net	n	0	0	0
spite	n	1	0	0
ethic	n	2	0	0
bank	n	37	0	0
Germany	n	0	0	0
juror	n	2	0	0
employment	n	25	0	0
inspiration	n	2	0	0
contrast	n	38	0	0
contract	n	21	0	0
plumber	n	3	0	0
proposal	n	17	0	0
human_right	n	0	0	0
litigation	n	1	0	0
China	n	0	0	0
goalkeeper	n	0	0	0
opponent	n	3	0	0
camera	n	22	0	0
deposit	n	2	0	0
routine	n	13	0	0
policy	n	60	0	0
company	n	90	0	0
picture	n	81	0	0
heavyweight	n	0	0	0
private_enterprise	n	0	0	0
economic_growth	n	0	0	0
democracy	n	10	0	0
NASA	n	0	0	0
trade	n	43	0	0
loan	n	19	0	0
carbon	n	6	0	0
crime	n	17	0	0
amount	n	103	0	0
provocation	n	1	0	0
Washington	n	0	0	0
victim	n	12	0	0
nobility	n	2	0	0
Professor	n	0	0	0
wage	n	70	0	0
Thursday	n	0	0	0
child	n	206	0	0
first_period	n	0	0	0
Tuesday	n	0	0	0
violator	n	0	0	0
central_america	n	0	0	0
practice	n	33	0	0
hymn	n	5	0	0
honor	n	16	0	0
viewpoint	n	11	0	0
activist	n	0	0	0
instability	n	2	0	0
justice	n	22	0	0
moon	n	29	0	0
regulation	n	12	0	0
reason	n	107	0	0
lawbreaker	n	0	0	0
century	n	103	0	0
organization	n	55	0	0
Yahoo	n	0	0	0
talk	n	12	0	0
today	n	78	0	0
sideline	n	0	0	0
evidence	n	83	0	0
negotiation	n	2	0	0
last_minute	n	0	0	0
new_york_stock_exchange	n	0	0	0
urgency	n	3	0	0
game	n	83	0	0
capital	n	22	0	0
unit	n	43	0	0
imposition	n	2	0	0
conservative	n	3	0	0
Peru	n	0	0	0
day	n	334	0	0
war	n	69	0	0
reporting	n	1	0	0
end	n	133	0	0
basket	n	8	0	0
past	n	42	0	0
crush	n	1	0	0
microbiology	n	0	0	0
breach	n	1	0	0
search	n	17	0	0
service	n	46	0	0
Ecuador	n	0	0	0
goal	n	34	0	0
world_cup	n	0	0	0
winner	n	2	0	0
challenger	n	0	0	0
document	n	4	0	0
involvement	n	6	0	0
interview	n	9	0	0
representation	n	21	0	0
trading	n	2	0	0
Bank	n	0	0	0
imperative	n	0	0	0
announcement	n	6	0	0
intention	n	11	0	0
message	n	30	0	0
transaction	n	2	0	0
challenge	n	7	0	0
president	n	31	0	0
track	n	8	0	0
comment	n	25	0	0
appeal	n	20	0	0
national_institutes_of_health	n	0	0	0
behalf	n	6	0	0
market	n	26	0	0
advantage	n	23	0	0
push	n	5	0	0
speaker	n	12	0	0
release	n	16	0	0
Earth	n	0	0	0
Euro	n	0	0	0
idea	n	151	0	0
assumption	n	29	0	0
sponsor	n	4	0	0
region	n	69	0	0
sport	n	17	0	0
research	n	52	0	0
football_player	n	1	0	0
help	n	25	0	0
pay	n	14	0	0
campaign	n	16	0	0
disadvantage	n	3	0	0
execution	n	6	0	0
police	n	34	0	0
posturing	n	0	0	0
customer	n	25	0	0
Migration	n	0	0	0
term	n	55	0	0
researcher	n	3	0	0
book	n	59	0	0
leader	n	23	0	0
reserve	n	3	0	0
congestion	n	2	0	0
market_economy	n	0	0	0
atmosphere	n	36	0	0
biochemistry	n	0	0	0
question	n	133	0	0
democrat	n	5	0	0
communication	n	36	0	0
Israel	n	0	0	0
review	n	7	0	0
defense_lawyer	n	0	0	0
contributor	n	2	0	0
speculation	n	1	0	0
advice	n	15	0	0
social_system	n	2	0	0
nutrient	n	1	0	0
fee	n	11	0	0
November	n	0	0	0
woe	n	2	0	0
proportion	n	14	0	0
testimony	n	11	0	0
migrant	n	0	0	0
US	n	0	0	0
role	n	58	0	0
competitor	n	7	0	0
